n, mikro_s
456,3.30687
457,3.32117
458,3.34024
459,3.36409
460,3.32713
461,3.39746
462,3.35932
463,3.38078
464,3.31402
465,3.39389
466,3.31163
467,3.31402
468,3.29375
469,3.3915
470,3.32355
471,3.4678
472,3.32952
473,3.42011
474,3.37243
475,3.39985
476,3.38078
477,3.43204
478,3.37958
479,3.49402
480,3.38078
481,3.39508
482,3.38435
483,3.41296
484,3.39508
485,3.39389
486,3.36051
487,3.42011
488,3.38316
489,3.41892
490,3.40581
491,3.40939
492,3.41296
493,3.45826
494,3.44872
495,3.47614
496,3.42846
497,3.42011
498,3.39746
499,3.44992
500,3.44515
501,3.50714
502,3.48568
503,3.51191
504,3.46303
505,3.46541
506,3.44753
507,3.49998
508,3.44038
509,3.54648
510,3.52502
511,3.58105
512,3.58343
513,3.55005
514,3.53813
515,3.47853
516,3.57985
517,3.57866
518,3.57151
519,3.56674
520,3.53098
521,3.58462
522,3.56674
523,3.57866
524,3.59178
525,3.56674
526,3.55482
527,3.57628
528,3.55959
529,3.50714
530,3.55124
531,3.54648
532,3.57747
533,3.6037
534,3.54528
535,3.54409
536,3.57509
537,3.55601
538,3.57032
539,3.53932
540,3.57509
541,3.58343
542,3.59535
543,3.55244
544,3.65734
545,3.57389
546,3.57985
547,3.57389
548,3.53813
549,3.62396
550,3.63708
551,3.5429
552,3.57509
553,3.54648
554,3.6931
555,3.56674
556,3.65496
557,3.53932
558,3.63827
559,3.56317
560,3.68118
561,3.54886
562,3.58939
563,3.60489
564,3.61562
565,3.55959
566,3.64184
567,3.5727
568,3.64542
569,3.5584
570,3.64661
571,3.56913
572,3.63946
573,3.5727
574,3.63708
575,3.57151
576,3.67165
577,3.57389
578,3.618
579,3.57747
580,3.74198
581,3.54648
582,3.66926
583,3.5882
584,3.65615
585,3.55363
586,3.62515
587,3.54409
588,3.63111
589,3.61919
590,3.72291
591,3.63111
592,3.65973
593,3.63708
594,3.65257
595,3.57032
596,3.67165
597,3.60608
598,3.67284
599,3.63111
600,3.6788
601,3.6037
602,3.65019
603,3.5882
604,3.65615
605,3.57509
606,3.67045
607,3.61919
608,3.618
609,3.62158
610,3.70383
611,3.60847
612,3.69072
613,3.57985
614,3.64184
615,3.58462
616,3.63708
617,3.57032
618,3.6335
619,3.62039
620,3.71337
621,3.60966
622,3.66092
623,3.64304
624,3.65138
625,3.60131
626,3.68118
627,3.60847
628,3.68118
629,3.65734
630,3.62396
631,3.65376
632,3.63111
633,3.62039
634,3.65257
635,3.61323
636,3.618
637,3.63708
638,3.66569
639,3.60489
640,3.67761
641,3.59774
642,3.69668
643,3.62515
644,3.64423
645,3.67522
646,3.64542
647,3.64423
648,3.65615
649,3.6335
650,3.68595
651,3.66449
652,3.66449
653,3.62754
654,3.70502
655,3.69906
656,3.68834
657,3.70979
658,3.66449
659,3.67999
660,3.66569
661,3.65376
662,3.6478
663,3.65973
664,3.67403
665,3.62873
666,3.68834
667,3.67522
668,3.6633
669,3.68118
670,3.66926
671,3.67641
672,3.66449
673,3.66807
674,3.71933
675,3.68476
676,3.66092
677,3.65376
678,3.66569
679,3.68953
680,3.66092
681,3.66688
682,3.66092
683,3.6943
684,3.6943
685,3.67641
686,3.72052
687,3.6931
688,3.68476
689,3.6943
690,3.67284
691,3.68476
692,3.68714
693,3.81827
694,3.68834
695,3.7086
696,3.63231
697,3.65496
698,3.67761
699,3.65853
700,3.73006
701,3.67045
702,3.65615
703,3.68834
704,3.72648
705,3.68834
706,3.6931
707,3.74675
708,3.67641
709,3.73483
710,3.68357
711,3.68834
712,3.76701
713,3.70502
714,3.72887
715,3.70264
716,3.70145
717,3.74079
718,3.6633
719,3.71099
720,3.69072
721,3.71099
722,3.62158
723,3.70264
724,3.71695
725,3.71099
726,3.74079
727,3.70741
728,3.68595
729,3.72171
730,3.71814
731,3.72529
732,3.72052
733,3.70383
734,3.71575
735,3.75032
736,3.76463
737,3.75271
738,3.77774
739,3.75152
740,3.7539
741,3.71814
742,3.72529
743,3.77536
744,3.84688
745,3.72767
746,3.78966
747,3.77774
748,3.83496
749,3.78966
750,3.82781
751,3.74675
752,3.80158
753,3.74913
754,3.78489
755,3.74556
756,3.72767
757,3.80039
758,3.81112
759,3.7837
760,3.81708
761,3.74556
762,3.829
763,3.74675
764,3.75271
765,3.74556
766,3.83735
767,3.76344
768,3.75271
769,3.77655
770,3.81231
771,3.79324
772,3.74317
773,3.72767
774,3.76821
775,3.72767
776,3.76821
777,3.76582
778,3.77774
779,3.83735
780,3.81231
781,3.8147
782,3.79205
783,3.82662
784,3.82662
785,3.81947
786,3.79801
787,3.80874
788,3.82185
789,3.85761
790,3.81827
791,3.80516
792,3.80754
793,3.78847
794,3.80993
795,3.79443
796,3.81827
797,3.85046
798,3.79205
799,3.78013
800,3.77655
801,3.77774
802,3.87549
803,3.83019
804,3.87669
805,3.88503
806,3.75748
807,3.87549
808,3.84927
809,3.79324
810,3.83615
811,3.81231
812,3.84688
813,3.84331
814,3.84212
815,3.84688
816,3.83854
817,3.81708
818,3.85046
819,3.82185
820,3.8743
821,3.82662
822,3.86834
823,3.81947
824,3.86953
825,3.84092
826,3.88026
827,3.88384
828,3.79324
829,3.79086
830,3.86477
831,3.80754
832,3.86477
833,3.81708
834,3.83139
835,3.81827
836,3.84808
837,3.80635
838,3.77536
839,3.80039
840,3.81947
841,3.88265
842,3.86119
843,3.84092
844,3.79086
845,3.80039
846,3.80874
847,3.86715
848,3.79443
849,3.80516
850,3.79324
851,3.83019
852,3.83496
853,3.82662
854,3.8588
855,3.7837
856,3.79562
857,3.77297
858,3.86477
859,3.83496
860,3.83973
861,3.81589
862,3.80635
863,3.79562
864,3.82423
865,3.85046
866,3.84688
867,3.86119
868,3.88503
869,3.85284
870,3.87669
871,3.82781
872,3.92437
873,3.83139
874,3.83377
875,3.83973
876,3.9506
877,3.85404
878,3.91245
879,3.83973
880,3.87192
881,3.84212
882,3.92795
883,3.82304
884,3.84688
885,3.79086
886,3.97801
887,3.83973
888,3.93629
889,3.88861
890,3.85761
891,3.84927
892,3.83139
893,3.89099
894,3.91841
895,3.87907
896,3.90053
897,3.84331
898,3.98159
899,3.85761
900,3.85642
901,3.83377
902,3.84569
903,3.85761
904,3.94106
905,3.83377
906,3.89934
907,3.84927
908,3.85761
909,3.86119
910,3.87073
911,3.88503
912,3.81708
913,3.86834
914,3.86477
915,3.88265
916,3.85284
917,3.87192
918,3.82781
919,3.90172
920,3.91126
921,3.88622
922,3.88384
923,3.89814
924,3.92795
925,3.84927
926,3.88384
927,3.88265
928,3.91006
929,3.89695
930,3.92199
931,3.85404
932,3.86834
933,3.88384
934,3.94225
935,3.85284
936,3.88622
937,3.88861
938,3.90053
939,3.92199
940,3.92675
941,3.89695
942,3.92675
943,3.93391
944,4.01497
945,3.93033
946,3.93033
947,3.91126
948,3.92079
949,3.88265
950,3.9351
951,3.94464
952,3.94583
953,3.92556
954,4.02451
955,3.94225
956,3.90887
957,3.94344
958,3.92556
959,3.94225
960,3.91841
961,3.95656
962,3.91245
963,3.92437
964,3.93629
965,3.89934
966,3.94106
967,3.87907
968,3.86119
969,3.86953
970,3.89695
971,3.91483
972,3.95179
973,3.91483
974,3.89814
975,3.94583
976,3.96609
977,3.9649
978,3.93033
979,3.9351
980,3.90649
981,3.93391
982,3.93987
983,3.91603
984,3.95536
985,3.91364
986,4.00186
987,3.91841
988,3.97325
989,3.91126
990,3.98397
991,3.99113
992,3.9649
993,3.93867
994,3.93748
995,3.9494
996,3.9947
997,3.95894
998,3.9041
999,3.96252
