n, mikro_s
456,4.00424
457,4.01497
458,3.84331
459,3.74317
460,3.88384
461,3.79086
462,3.92795
463,3.7539
464,3.95298
465,3.89338
466,3.89338
467,3.79801
468,3.71456
469,3.70383
470,3.87073
471,3.79086
472,3.75271
473,3.95894
474,3.82543
475,3.79205
476,3.84212
477,3.90291
478,3.93271
479,3.77655
480,3.9351
481,3.8445
482,3.90291
483,3.69072
484,3.87549
485,3.67522
486,3.90291
487,3.84808
488,3.90291
489,3.84331
490,3.75628
491,3.90291
492,4.00424
493,3.84808
494,3.83615
495,3.91483
496,3.81112
497,3.91245
498,4.01855
499,3.92675
500,3.74436
501,3.64661
502,3.84927
503,3.93987
504,3.85284
505,3.92914
506,3.99828
507,4.04239
508,3.86477
509,3.74794
510,3.7694
511,3.76105
512,3.84331
513,3.78847
514,3.94106
515,3.83735
516,3.88384
517,4.24266
518,4.00305
519,3.77059
520,4.02689
521,3.92795
522,3.7992
523,3.80278
524,3.84927
525,3.80874
526,4.02331
527,4.03047
528,3.88622
529,3.97801
530,3.91245
531,4.09842
532,3.85404
533,3.78013
534,3.98636
535,3.96371
536,3.98874
537,3.86119
538,3.88861
539,3.79086
540,3.91483
541,3.80993
542,4.01974
543,3.88026
544,3.94702
545,3.92079
546,4.04477
547,3.96609
548,3.84808
549,3.99113
550,4.03881
551,4.00305
552,4.09007
553,3.9947
554,3.7241
555,3.91364
556,3.92556
557,3.8445
558,4.04239
559,4.1616
560,4.00901
561,3.94106
562,4.01497
563,4.0257
564,3.97444
565,4.16398
566,4.05669
567,4.0555
568,3.9196
569,3.95179
570,4.11868
571,4.08888
572,3.88861
573,4.1008
574,4.10676
575,4.03166
576,4.21643
577,4.07338
578,4.12107
579,4.07577
580,3.9196
581,4.10318
582,4.11391
583,4.15802
584,4.13895
585,4.08769
586,4.1163
587,4.26292
588,4.16517
589,4.3273
590,4.15683
591,4.22835
592,3.98755
593,4.17471
594,4.04119
595,4.07815
596,4.24147
597,4.03881
598,4.05073
599,4.02331
600,4.04239
601,4.03523
602,4.13299
603,3.97563
604,3.96967
605,4.12345
606,3.86477
607,4.11987
608,4.30942
609,4.04119
610,3.9649
611,4.10557
612,3.88861
613,3.99232
614,4.10914
615,4.08173
616,4.00782
617,4.10676
618,4.02093
619,3.98755
620,4.02689
621,4.09245
622,3.92795
623,4.21524
624,3.98397
625,4.34875
626,3.91483
627,4.10676
628,4.09007
629,4.05431
630,4.10795
631,4.10795
632,4.03047
633,4.02808
634,4.14848
635,4.11987
636,4.10795
637,4.36544
638,3.98517
639,4.0555
640,4.01497
641,4.06742
642,3.99709
643,4.05669
644,4.12941
645,4.1151
646,4.30822
647,4.14371
648,4.10557
649,4.19736
650,4.09245
651,4.24147
652,3.9506
653,4.07696
654,4.21882
655,3.95775
656,3.96729
657,4.19259
658,3.97444
659,4.02093
660,4.14252
661,4.04
662,4.14252
663,4.17471
664,4.12822
665,4.12583
666,4.15325
667,3.93748
668,4.10676
669,4.27485
670,4.37737
671,4.00066
672,4.02927
673,4.24743
674,4.2963
675,4.09842
676,4.14252
677,4.16875
678,4.08769
679,4.1604
680,3.98517
681,4.29869
682,4.18186
683,4.02808
684,4.14491
685,4.04954
686,3.9947
687,4.11987
688,4.06146
689,4.35591
690,4.21286
691,4.1461
692,4.24623
693,4.26888
694,4.21405
695,4.20451
696,4.31538
697,4.19259
698,4.36068
699,3.99947
700,4.03047
701,4.31538
702,3.88503
703,4.10318
704,4.40955
705,4.22239
706,4.12822
707,4.17113
708,4.29749
709,4.25935
710,4.4322
711,4.13299
712,4.37498
713,4.17709
714,4.2212
715,4.42982
716,4.09722
717,4.01378
718,4.10914
719,4.18425
720,4.1461
721,4.12941
722,4.04835
723,4.0853
724,4.32134
725,4.21524
726,4.11987
727,4.05788
728,4.23074
729,4.33683
730,4.41313
731,4.22716
732,4.19497
733,4.01497
734,4.22597
735,4.17471
736,4.45127
