n, mikro_s
456,57.00827
457,58.21228
458,58.62236
459,58.0287
460,57.69253
461,58.14314
462,58.10976
463,59.05867
464,59.25417
465,58.68196
466,58.91323
467,59.37099
468,59.35669
469,59.35192
470,59.92889
471,60.16731
472,59.7167
473,60.47487
474,61.43332
475,60.92787
476,60.40335
477,59.78823
478,60.63461
479,60.42719
480,60.61077
481,60.91356
482,61.03516
483,62.06512
484,61.39994
485,61.82909
486,61.41663
487,62.82091
488,61.39278
489,62.47997
490,61.53345
491,62.22963
492,63.2596
493,62.13427
494,62.96158
495,63.45987
496,62.61587
497,63.76743
498,62.69455
499,62.86621
500,63.50756
501,63.13324
502,64.17751
503,63.04979
504,63.47656
505,63.55524
506,64.68296
507,64.78548
508,64.52084
509,63.79366
510,64.13221
511,64.65912
512,65.30046
513,64.22758
514,64.58044
515,64.70203
516,64.27765
517,65.56034
518,66.76674
519,66.98608
520,66.10155
521,66.01572
522,66.0944
523,66.53547
524,66.0038
525,66.52355
526,65.72723
527,66.07056
528,66.27083
529,66.57362
530,66.56408
531,67.70134
532,66.59746
533,66.90025
534,66.92886
535,67.59882
536,68.75992
537,68.02559
538,68.18295
539,68.8982
540,68.25686
541,68.70985
542,68.51435
543,68.52865
544,68.98403
545,70.19758
546,70.8127
547,70.53375
548,69.70882
549,69.5014
550,70.00446
551,69.50855
552,69.88525
553,69.96393
554,70.03307
555,70.44315
556,70.60051
557,71.50412
558,70.7078
559,71.47789
560,70.68396
561,70.8437
562,71.02251
563,71.22755
564,71.10119
565,71.00344
566,72.32428
567,71.22278
568,73.37093
569,72.08586
570,72.00718
571,72.04294
572,71.79022
573,72.31712
574,73.19689
575,72.96801
576,73.21596
577,73.02999
578,73.843
579,73.29464
580,73.21596
581,73.38762
582,74.48435
583,73.14205
584,73.48299
585,74.11718
586,74.11957
587,74.30315
588,73.88592
589,74.10288
590,76.15566
591,75.43325
592,74.51296
593,75.44756
594,74.90158
595,75.53101
596,75.66214
597,75.87671
598,75.65737
599,77.55518
600,76.61819
601,77.22378
602,76.70641
603,77.30007
604,76.57766
605,76.66588
606,76.44892
607,76.65634
608,77.10695
609,76.61581
610,77.07834
611,77.17609
612,77.5528
613,78.25375
614,77.69346
615,77.75545
616,77.87704
617,78.56369
618,78.9237
619,78.32289
620,78.24183
621,78.33481
622,80.36375
623,79.79155
624,79.53882
625,79.13113
626,79.09536
627,78.97139
628,79.31709
629,79.69856
630,80.04904
631,80.21593
632,79.70095
633,80.07526
634,80.32322
635,81.58445
636,80.46627
637,81.06232
638,80.71661
639,81.39133
640,80.61409
641,81.06232
642,81.25782
643,82.6478
644,82.52382
645,81.71558
646,82.17335
647,82.76463
648,82.71694
649,83.0698
650,83.26769
651,83.78029
652,82.54528
653,83.48942
654,84.72919
655,83.1604
656,83.09126
657,84.34057
658,83.39405
659,83.36306
660,84.70297
661,85.20603
662,83.75645
663,84.69343
664,83.96387
665,85.04629
666,85.13927
667,84.89609
668,84.96761
669,85.93321
670,85.60896
671,85.12735
672,85.42299
673,85.73294
674,86.06672
675,85.92606
676,85.89506
677,86.09533
678,86.62462
679,86.29799
680,86.59363
681,86.43627
682,86.85589
683,88.38177
684,87.26358
685,87.21352
686,87.1253
687,88.82046
688,89.00642
689,89.1304
690,89.06841
691,88.18388
692,89.16616
693,88.21487
694,88.86337
695,88.80138
696,89.59532
697,88.77039
698,89.3259
699,89.0708
700,90.57045
701,90.02447
702,90.21044
703,89.92672
704,91.21895
705,92.26322
706,90.02209
707,91.42399
708,90.39402
709,91.5575
710,91.55989
711,90.59191
712,91.82453
713,92.24415
714,91.74109
715,90.34634
716,90.87563
717,90.85178
718,91.784
719,91.94613
720,91.89367
721,91.47167
722,92.66138
723,92.29183
724,91.55989
725,92.72337
726,94.28024
727,92.07249
728,92.54456
729,93.46962
730,93.34564
731,93.22643
732,92.4325
733,93.83202
734,93.91785
735,93.17875
736,94.0752
737,94.23256
738,94.52343
739,95.15285
740,94.13719
741,94.67602
742,95.59393
743,94.50912
744,95.1314
745,95.74175
746,95.644
747,95.37697
748,96.70019
749,97.85414
750,97.26763
751,97.17703
752,97.13888
753,97.65863
754,99.22266
755,97.89705
756,97.5585
757,98.29044
758,99.14398
759,98.04726
760,99.1559
761,97.74685
762,97.50128
763,99.14398
764,98.85788
765,98.85073
766,99.63274
767,99.11776
768,99.98798
769,99.01047
770,100.92735
771,98.91748
772,100.58641
773,100.11911
774,100.20018
775,99.99275
776,99.22028
777,101.06564
778,101.47095
779,102.23389
780,102.31972
781,103.56665
782,103.15895
783,102.65827
784,103.35207
785,103.5738
786,105.52645
787,104.59423
788,104.47979
789,104.36773
790,104.98285
791,107.38611
792,106.97126
793,106.44436
